Title Name,Language,Type,Rating,IMDb,Cover Image Path
Cowboy Bebop,TV,Japanese,TV-MA,,images\cowboybebop.jpeg
Cyberpunk: Edgerunners,TV,English,TV-MA,,images\cyberpunkedgerunners.jpeg
Cyborg 009: Call of Justice,TV,Japanese,TV-14,6.6/10,
DAN DA DAN,TV,Japanese,TV-MA,,images\dandadan.jpeg
DEATH NOTE,TV,Japanese,TV-14,9.0/10,
Delicious in Dungeon,TV,Japanese,TV-MA,,images\deliciousindungeon.jpeg
Demon Slayer: Kimetsu no Yaiba,TV,Japanese,TV-MA,,images\demonslayerkimetsunoyaiba.jpeg
Den-noh Coil,TV,Japanese,TV-Y7,,images\dennohcoil.jpeg
Devilman Crybaby,TV,Japanese,TV-MA,7.6/10,
Dino Girl Gauko,TV,English,TV-Y7,7.1/10,images\AAAABf2_xikurx4hCngsl5l_57PI_jNpeukOgEMeAdsD7FtLZe_ltMoCwbuSAvi-Yh7GvHSrEjqFqsMGjHMVmb5w9fkz1HyJon1jXvpaAoNhDOsUvozQ5RRq0gCI-BCidNUOWHVICQxopEdS3br-C_cACtu2KiCUn54.jpg
Dinosaur King,TV,Japanese,TV-Y7,5.5/10,
Dorohedoro,TV,Japanese,TV-MA,8.2/10,images\AAAABcMLkxZNEm78uUuYGC9F2eniA7ypBfgCj4Yl3IJc5Jg3veppKGNwBhw2IBx1Xm9FXQya6M56gK86vW2Fo1Q7fFb5fjKHr8pliW65zaM-WGxdD2yO4C0sgRCMWqnKGg.jpg
DOTA: Dragon's Blood,TV,English,TV-MA,,images\dotadragonsblood.jpeg
Dragon Age: Absolution,TV,English,TV-MA,,images\dragonageabsolution.jpeg
DRAGON PILOT: Hisone & Masotan,TV,Japanese,TV-14,6.9/10,
Dragon Quest Your Story,Movie,Japanese,TV-PG,6.6/10,images\AAAABTuY982IOotzxcNWCP3iHuj7__WwsLnnq8V4gksTsgtTKNnBa6gzZ3i9ax-zqbSckUKHfWE59TevinXsSAuEH509T_R_mXqQ4LsnIQgw4gkwnrp54o1atZYEnA5c8w.jpg
Dragon's Dogma,TV,English,TV-MA,,images\dragonsdogma.jpeg
DRIFTING DRAGONS,TV,Japanese,TV-14,6.2/10,images\AAAABQBynBGCthefAJPqvbqfT-Va8IuIarCOZQVjMCmCEP-svoWz2Iy8BcU4UAQkFLah7eqiqiMderlTUeTxy1LBeN-IxthFI3c9b15YK34bLI8c5uaGH2XC4YVUbdQ6Eg.jpg
Drifting Home,Movie,Japanese,PG,,images\driftinghome.jpeg
Eden,TV,Japanese,TV-Y7,,images\eden.jpeg
EDENS ZERO,TV,Japanese,TV-14,,images\edenszero.jpeg
Erased,TV,Japanese,TV-14,7.9/10,
EVANGELION: DEATH (TRUE)²,Movie,Japanese,TV-MA,7.5/10,images\AAAABQJNWjTs8ES_av9JozSFL_qSHQSDI9Rw-D1_GnVHRqPiSOjVISRaD4CSFVlkDnMQwBezyi6v3dAHRnw4-4SFE4F3IiJn0gMDfQ.jpg
Fate/Apocrypha,TV,Japanese,TV-MA,6.5/10,
Fate/EXTRA Last Encore,TV,Japanese,TV-MA,5.3/10,
Flavors of Youth: International Version,Movie,English,TV-PG,6.6/10,
