Title Name,Language,Type,Rating,IMDb,Cover Image Path
Teasing Master Takagi-san,TV,Japanese,TV-PG,7.5/10,images\AAAABbQfhhqfXaec2itVh6E8OrJvc_i7sNOYKBiREmWhPL9Q9PXt3tGIen9vqBp7g76lwbhr9bBKY-Cyc6-HL0pOwK1n8xUvQfPhbAxgQYHg-HXjfCRCL1k5gecSkpnBeQ.jpg
Tekken: Bloodline,TV,English,TV-14,,images\tekkenbloodline.jpeg
Terminator Zero,TV,Japanese,TV-MA,,images\terminatorzero.jpeg
The Could’ve-Gone-All-the-Way Committee,TV,Japanese,TV-14,7.1/10,
The Deer King,Movie,Japanese,R,,images\thedeerking.jpeg
The Disastrous Life of Saiki K.,TV,Japanese,TV-14,8.3/10,
The Disastrous Life of Saiki K.: Reawakened,TV,Japanese,TV-14,,images\AAAABbxquDzYcyx8TpwZ6fWQJDw68R-ijzkvd0I0LOc5fc7tuccGkkfKcP4kOtFdxd63MMgtRiy5FkumxmJ6ypbDBPBb3YClpbnJo95TRCNenXQ2ELv_m9ci49fvbf7T4A.jpg
The End of Evangelion,Movie,Japanese,TV-MA,8.1/10,images\AAAABec_IKiYCVcA1pOg_TGOUyTL6kISxynnIBZ7ckbv9V_qHP6opiQMdJyWuQY3EV7IIoLKA64baKoSGGqYJEuanOfDeOkuop_lIQ.jpg
The First Slam Dunk,Movie,Japanese,PG-13,,images\thefirstslamdunk.jpeg
The Garden of Words,Movie,Japanese,TV-MA,7.5/10,images\AAAABS2uIfGhfBkTDUihA3g0-jOCoApaWBHFzkXRediMNQ5vwYOvCorlNzKo_LEsz3yZMQqactijnVug2YN4ciB6kR8HzHqa.jpg
The Grimm Variations,TV,Japanese,TV-MA,,images\thegrimmvariations.jpeg
The Guardians of Justice,TV,English,TV-MA,,images\theguardiansofjustice.jpeg
The Idhun Chronicles,TV,Spanish,TV-14,,images\theidhunchronicles.jpeg
The Imaginary,Movie,Japanese,PG,,images\theimaginary.jpeg
The Irregular at Magic High School,TV,Japanese,TV-PG,7.2/10,
The Last: Naruto the Movie,Movie,Japanese,TV-14,,images\thelastnarutothemovie.jpeg
The Orbital Children,TV,Japanese,TV-14,,images\theorbitalchildren.jpeg
The Quintessential Quintuplets,TV,Japanese,TV-PG,,images\thequintessentialquintuplets.jpeg
The Rising of the Shield Hero,TV,English,TV-14,,images\therisingoftheshieldhero.jpeg
The Seven Deadly Sins,TV,Japanese,TV-14,8.1/10,
The Seven Deadly Sins the Movie: Prisoners of the Sky,Movie,Japanese,TV-14,7.2/10,
The Seven Deadly Sins: Cursed by Light,Movie,Japanese,TV-14,,images\thesevendeadlysinscursedbylight.jpeg
The Seven Deadly Sins: Four Knights of the Apocalypse,TV,Japanese,TV-14,,images\thesevendeadlysinsfourknightsoftheapocalypse.jpeg
The Seven Deadly Sins: Grudge of Edinburgh Part 1,Movie,Japanese,TV-14,,images\thesevendeadlysinsgrudgeofedinburghpart1.jpeg
The Seven Deadly Sins: Grudge of Edinburgh Part 2,Movie,Japanese,TV-14,,images\thesevendeadlysinsgrudgeofedinburghpart2.jpeg
The Way of the Househusband,TV,Japanese,TV-14,,images\thewayofthehousehusband.jpeg
The Witcher: Nightmare of the Wolf,Movie,English,TV-MA,,images\thewitchernightmareofthewolf.jpeg
Thermae Romae Novae,TV,Japanese,TV-MA,,images\thermaeromaenovae.jpeg
Thus Spoke Kishibe Rohan,TV,Japanese,TV-MA,,images\thusspokekishiberohan.jpeg
Tokyo Godfathers,Movie,Japanese,PG-13,,images\tokyogodfathers.jpeg
Transformers: War For Cybertron Trilogy,TV,English,TV-Y7,,images\AAAABWEIcM0BFzM1-M8JR773l_QkLgCH8WFAOVvCLs80V_1q23jfIkf4WxiyLclxjbGFwqkvOGcdgfe234UwKC9xeQ_bWLLoGTWvIPeGs4vlaR_fmJ6nMnrEMTr168BP2g.jpg
Transformers: War for Cybertron: Earthrise,TV,English,TV-Y7,,images\transformerswarforcybertronearthrise.jpeg
T・P BON,TV,Japanese,TV-MA,,images\tpbon.jpeg
Ultraman,TV,Japanese,TV-14,6.9/10,images\AAAABY109K81Ei59R3xU5jXSduDAaidgKK9cqlnyaKxTnmjybSmhV9B7rwIdLrPj-id-suq1zSsQoukvtYiKRIE9Q8PJ3D4W4fcCaA.jpg
Ultramarine Magmell,TV,Japanese,TV-14,,images\AAAABT3ppj1tVSTJCCWNj7rHwqQ0D6FGULFWhOSLB1GNaozIk3THJH5DDY3b84KwAQ3YheW8GZq4R-gtKz7XDy_5CSL2MAIgCVuxYq6GKxyTkiCEOvF33-jhDRNeKzT1pg.jpg
Uncle from Another World,TV,Japanese,TV-MA,,images\unclefromanotherworld.jpeg
Vampire in the Garden,TV,Japanese,TV-14,,images\vampireinthegarden.jpeg
VINLAND SAGA,TV,Japanese,TV-MA,,images\vinlandsaga.jpeg
Violet Evergarden,TV,Japanese,TV-14,8.4/10,
Violet Evergarden: Eternity and the Auto Memory Doll,Movie,Japanese,TV-PG,7.4/10,images\AAAABbM19G6btwQybrNlUZa-dRQVczLo92srbnRw5YUulWiEiVUWsxfuozqVroFqHn2wxqS9ZqYkR6rqD3ClJO7omUwYFsb3.jpg
Violet Evergarden: Recollections,Movie,Japanese,TV-14,,images\violetevergardenrecollections.jpeg
Violet Evergarden: Special,TV,Japanese,TV-PG,,
Words Bubble Up Like Soda Pop,Movie,Japanese,TV-G,,images\wordsbubbleuplikesodapop.jpeg
World Trigger,TV,Japanese,TV-14,,images\worldtrigger.jpeg
Yakitori: Soldiers of Misfortune,TV,Japanese,TV-MA,,images\yakitorisoldiersofmisfortune.jpeg
Yasuke,TV,Japanese,TV-MA,,images\yasuke.jpeg
Yowamushi Pedal,TV,Japanese,TV-14,,images\yowamushipedal.jpeg
Yu Yu Hakusho: Ghost Files,TV,Japanese,TV-PG,,images\yuyuhakushoghostfiles.jpeg
Yu-Gi-Oh!,TV,English,TV-Y7,7.2/10,images\AAAABXymPGdOvjXVvq8zfnsgt0dEgHoDC0YkGCRE5JhF9UwNBkhIUb57d8fO6zKSkzVNaQ-uUf_YJwpRJzyUkeH2lirKJ78w.jpg
Zom 100: Bucket List of the Dead,TV,Japanese,TV-MA,,images\zom100bucketlistofthedead.jpeg
SAINT SEIYA: Knights of the Zodiac,TV,Japanese,TV-14,4.5/10,images\AAAABRh4gyl9KtnzkogSNkQXUJ294rLxSQ2396aR8O2bqsNiO9CUqTR9eW_V23lnMZZfHkadUi42zjRi_0B5euswDEDBSXiooNyfEEuFswjh3cAX0Rv4P27eCeXMDGsNV3UZLqZBRVaIPD6K6R29vbf0UrS1u7h_a6U.jpg
